Unnamed: 0,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,IdLandkreis,MeldedatumISO,DatenstandISO,NeuerFall,NeuerTodesfall,NeuGenesen,AnzahlGenesen,IstErkrankungsbeginn,Altersgruppe2
1234,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,1001,2020-03-14,2020-03-21,,,,,,
1235,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,1001,2020-03-19,2020-03-21,,,,,,
1236,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,1001,2020-03-14,2020-03-21,,,,,,
1237,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,1001,2020-03-18,2020-03-21,,,,,,
1238,1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,1001,2020-03-14,2020-03-21,,,,,,
1239,1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,1001,2020-03-20,2020-03-21,,,,,,
1240,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-03-14,2020-03-21,,,,,,
1241,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,1001,2020-03-19,2020-03-21,,,,,,
1242,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-03-20,2020-03-21,,,,,,
8232,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,1001,2020-03-14,2020-03-22,,,,,,
8233,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,1001,2020-03-19,2020-03-22,,,,,,
8234,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,1001,2020-03-21,2020-03-22,,,,,,
8235,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,1001,2020-03-14,2020-03-22,,,,,,
8236,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,1001,2020-03-18,2020-03-22,,,,,,
8237,1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,1001,2020-03-14,2020-03-22,,,,,,
8238,1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,1001,2020-03-20,2020-03-22,,,,,,
8239,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-03-14,2020-03-22,,,,,,
8240,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,1001,2020-03-19,2020-03-22,,,,,,
8241,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-03-20,2020-03-22,,,,,,
19504,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,1001,2020-03-14,2020-03-23,,,,,,
19505,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,1001,2020-03-19,2020-03-23,,,,,,
19506,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,1001,2020-03-21,2020-03-23,,,,,,
19507,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,1001,2020-03-14,2020-03-23,,,,,,
19508,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,1001,2020-03-18,2020-03-23,,,,,,
19509,1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,1001,2020-03-14,2020-03-23,,,,,,
19510,1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,1001,2020-03-20,2020-03-23,,,,,,
19511,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-03-14,2020-03-23,,,,,,
19512,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,1001,2020-03-19,2020-03-23,,,,,,
19513,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-03-20,2020-03-23,,,,,,
27504,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,1001,2020-03-14,2020-03-24,0.0,0.0,,,,
27505,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,2,0,1001,2020-03-19,2020-03-24,0.0,0.0,,,,
27506,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,1001,2020-03-21,2020-03-24,0.0,0.0,,,,
27507,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,1001,2020-03-14,2020-03-24,0.0,0.0,,,,
27508,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,2,0,1001,2020-03-18,2020-03-24,0.0,0.0,,,,
27509,1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,1001,2020-03-14,2020-03-24,0.0,0.0,,,,
27510,1,Schleswig-Holstein,SK Flensburg,A35-A59,M,1,0,1001,2020-03-20,2020-03-24,0.0,0.0,,,,
27511,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-03-14,2020-03-24,0.0,0.0,,,,
27512,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,2,0,1001,2020-03-19,2020-03-24,0.0,0.0,,,,
27513,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-03-20,2020-03-24,0.0,0.0,,,,
41848,1,Schleswig-Holstein,SK Flensburg,A60-A79,M,1,0,1001,2020-03-24,2020-03-25,1.0,0.0,,,,
42603,1,Schleswig-Holstein,SK Flensburg,A60-A79,M,1,0,1001,2020-03-24,2020-03-26,1.0,0.0,,,,
44872,1,Schleswig-Holstein,SK Flensburg,A60-A79,M,2,0,1001,2020-03-26,2020-03-27,1.0,-9.0,,,,
44873,1,Schleswig-Holstein,SK Flensburg,A60-A79,W,2,0,1001,2020-03-26,2020-03-27,1.0,-9.0,,,,
47283,1,Schleswig-Holstein,SK Flensburg,A15-A34,M,1,0,1001,2020-03-27,2020-03-28,1.0,-9.0,,,,
50120,1,Schleswig-Holstein,SK Flensburg,A15-A34,W,1,0,1001,2020-03-28,2020-03-29,1.0,-9.0,,,,
50121,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-03-28,2020-03-29,1.0,-9.0,,,,
51958,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-03-29,2020-03-30,1.0,-9.0,,,,
56334,1,Schleswig-Holstein,SK Flensburg,A80+,M,2,0,1001,2020-03-31,2020-04-01,1.0,-9.0,,,,
56335,1,Schleswig-Holstein,SK Flensburg,A80+,W,1,0,1001,2020-03-30,2020-04-01,1.0,-9.0,,,,
66710,1,Schleswig-Holstein,SK Flensburg,A60-A79,W,1,0,1001,2020-04-03,2020-04-04,1.0,-9.0,,,,
66711,1,Schleswig-Holstein,SK Flensburg,A35-A59,W,1,0,1001,2020-04-03,2020-04-04,1.0,-9.0,,,,
